Nom de la gare;Code UIC;Code postal;% Non Voyageurs;Total Voyageurs 2024;Total Voyageurs + Non voyageurs 2024;Total Voyageurs 2023;Total Voyageurs + Non voyageurs 2023;Total Voyageurs 2022;Total Voyageurs + Non voyageurs 2022
Olonne-sur-Mer;87486431;85340;0.0;16917;16917;15420;15420;14196;14196
Paris Gare de Lyon;87686006;75012;0.3400000000000001;113224230;144574465;110498896;140547621;102024783;129335965
Paris Saint-Lazare;87384008;75008;0.2500000000000001;114093491;152124655;103453620;137938160;102910589;137214119
Parthenay;87487173;79200;0.0;0;0;6;6;3896;3896
Peltre;87192203;57245;0.0;36318;36318;31720;31720;26353;26353
Pezou;87574541;41100;0.0;4933;4933;4087;4087;2386;2386
Plestan;87473090;22640;0.0;14569;14569;11031;11031;7989;7989
Plounérin;87473199;22780;0.0;2199;2199;1813;1813;1168;1168
Poliénas;87761742;38210;0.0;42133;42133;36427;36427;37566;37566
Pommevic;87618058;82400;0.0;0;0;0;0;0;0
Pont-du-Château;87734087;63430;0.0;125488;125488;90764;90764;65781;65781
Port-Saint-Père - Saint-Mars;87481218;44710;0.0;69999;69999;67201;67201;53306;53306
Raon-l'Étape;87144626;88110;0.0;143675;143675;126526;126526;119015;119015
Réaumont - Saint-Cassien;87747279;38140;0.2;147736;184671;137452;171815;142995;178744
Ribécourt-Dreslincourt;87276766;60170;0.2;182273;227841;151136;188920;128703;160879
Rieux - Angicourt;87276352;60870;0.2;164936;206170;152756;190946;140715;175894
Romanèche-Thorins;87725739;71570;0.0;57447;57447;54480;54480;47885;47885
Saint-Clément - Laronxe;87141374;54950;0.0;24326;24326;30776;30776;27549;27549
Sainte-Bazeille;87586479;47180;0.0;3444;3444;2431;2431;2010;2010
Saint-Hilaire-de-Chaléons;87481234;44680;0.0;29722;29722;28757;28757;26154;26154
Saint-Hilaire-de-Riez;87486563;85270;0.0;73238;73238;73875;73875;65412;65412
Saint-Laurent - Gainneville;87413310;76700;0.0;25483;25483;31008;31008;20887;20887
Saint-Martin-Bellevue;87746222;74370;0.0;0;0;0;0;0;0
Saint-Martin-du-Mont;87743112;1160;0.0;4732;4732;6807;6807;6550;6550
Saint-Omer-en-Chaussée;87313718;60860;0.0;13018;13018;13013;13013;8454;8454
Saint-Sébastien Frêne Rond;87354597;44230;0.0;42006;42006;37530;37530;33554;33554
Santeuil - Le Perchay;87381186;95640;0.0;34808;34808;31561;31561;35168;35168
Saubusse;87673251;40180;0.0;16584;16584;12950;12950;10588;10588
Seurre;87713677;21250;0.0;63901;63901;59749;59749;67314;67314
Tende;87756882;6430;0.0;21086;21086;29942;29942;22780;22780
Thonon-les-Bains;87745646;74200;0.14;827935;962715;714703;831050;640419;744674
Urçay - La Perche;87576348;18200;0.0;2671;2671;1076;1076;885;885
Villefranque;87673616;64990;0.0;2154;2154;1862;1862;1164;1164
Villiers Montbarbin;87116749;77580;0.0;84511;84511;76628;76628;53041;53041
Walbourg;87213405;67360;0.0;42141;42141;43842;43842;38124;38124
Wallers;87343301;59135;0.0;12340;12340;10771;10771;10863;10863
Wavrin;87286419;59136;0.0;82851;82851;73136;73136;69296;69296
Xeuilley;87141549;54990;0.0;0;0;2;2;0;0
Ygos-Saint-Saturnin;87671487;40100;0.0;42050;42050;43728;43728;38618;38618
Agonac;87595157;24460;0.0;12251;12251;9537;9537;6468;6468
Aigues-Mortes;87775858;30220;0.0;22731;22731;17034;17034;11325;11325
Amplepuis;87721035;69550;0.2;356066;445082;329325;411656;314879;393599
Ancenis;87481192;44150;0.2;1179679;1474599;1150015;1437519;1023676;1279596
Arc-et-Senans;87718841;25610;0.0;94166;94166;82982;82982;77323;77323
Artenay;87543058;45410;0.0;91501;91501;92086;92086;94229;94229
Bainville-sur-Madon;87141531;54550;0.0;4;4;7;7;84;84
Bar-le-Duc;87175042;55000;0.2;452165;565207;478077;597596;422768;528460
Béard;87696468;58160;0.0;1670;1670;1131;1131;1688;1688
Belvès;87595876;24170;0.0;4150;4150;3850;3850;2759;2759
Bidarray Pont Noblia;87673699;64780;0.0;4390;4390;3346;3346;2804;2804
Bléré - La Croix;87574475;37150;0.2;220895;276118;203033;253791;207320;259151
Boulogne-sur-Mer;87317586;62200;0.1999999999999999;1046427;1308034;971882;1214853;952689;1190862
Bourges;87576207;18000;0.2;1383929;1729911;1227943;1534929;1148025;1435032
Bretoncelles;87394270;61110;0.0;26008;26008;25890;25890;26432;26432
Breuillet - Bruyères-le-Châtel;87545483;91650;0.0;499791;499791;453214;453214;425888;425888
Broons;87473074;22250;0.0;70577;70577;65156;65156;59562;59562
Brumath;87212134;67170;0.0;726076;726076;693528;693528;598702;598702
Castres;87615468;81100;0.1999999999999999;170116;212646;170805;213506;158104;197630
Cenon;87581595;33150;0.2;1097085;1371356;949066;1186333;820456;1025571
Champagnole Paul-Émile Victor;87352047;39300;0.0;5083;5083;2663;2663;2499;2499
Chanac;87783530;48230;0.0;4593;4593;2220;2220;196;196
Changis - Saint-Jean;87116509;77660;0.0;371925;371925;337099;337099;250409;250409
Chasseradès;87775148;48250;0.0;2583;2583;2512;2512;1798;1798
Châtelaillon-Plage;87485110;17340;0.0;147471;147471;130373;130373;123934;123934
Châtel-Censoir;87696856;89660;0.0;8488;8488;6920;6920;6712;6712
Châtillon d'Azergues;87721753;69380;0.0;17727;17727;19166;19166;20177;20177
Ciry-le-Noble;87694646;71420;0.0;5728;5728;5991;5991;7875;7875
Colmar Mésanges;87402297;68000;0.0;4561;4561;4665;4665;3007;3007
Corcieux Vanémont;87144196;88430;0.0;417;417;1190;1190;2735;2735
Courcay - Tauxigny;87571448;37310;0.0;2971;2971;4326;4326;3194;3194
Crissé;87396226;72140;0.0;0;0;684;684;1033;1033
Dijon;87713040;21000;0.2600000000000001;8102780;10949703;7653382;10342408;7081622;9569760
Échirolles;87725895;38130;0.2;534520;668150;500121;625151;486905;608632
Fontan - Saorge;87756858;6540;0.0;3798;3798;5783;5783;4980;4980
Freistroff;87191395;57320;0.0;837;837;1718;1718;2073;2073
Fronville;87175075;52300;0.0;276;276;299;299;333;333
Jœuf;87191700;54240;0.0;43849;43849;43872;43872;42342;42342
Jouy-en-Josas;87393512;78350;0.0;801777;801777;726829;726829;683855;683855
La Possonnière;87484337;49170;0.0;162805;162805;143293;143293;123691;123691
La Wantzenau;87212316;67610;0.0;44186;44186;37979;37979;36686;36686
Labruguière;87615526;81290;0.0;7913;7913;8444;8444;8165;8165
Lalande Église;87611947;31000;0.0;386;386;108;108;0;0
Landas;87286575;59310;0.0;83119;83119;79417;79417;64993;64993
Landry;87741777;73210;0.0;45927;45927;41871;41871;43236;43236
Lauterbourg;87212464;67630;0.0;36642;36642;33017;33017;26775;26775
Lavilletertre;87381202;60240;0.0;22509;22509;16787;16787;16310;16310
Le Buisson-de-Cadouin;87595751;24480;0.0;56490;56490;48018;48018;45599;45599
Le Grand-Lemps;87747220;38690;0.0;165221;165221;140007;140007;136252;136252
Le Méridien La Ferrière;87721522;69260;0.2;130830;163537;129889;162362;136655;170819
Le Péage-de-Roussillon;87722678;38550;0.1999999999999999;1053974;1317468;958912;1198640;925830;1157288
Le Vert de Maisons;87681247;94700;0.0;3655445;3655445;2691715;2691715;2529584;2529584
Les Bardys;87592048;87480;0.0;13718;13718;7754;7754;4902;4902
Les Cabannes;87611574;9310;0.0;15652;15652;12426;12426;10768;10768
Les Moutiers-en-Retz;87481259;44580;0.0;34833;34833;33727;33727;28213;28213
Les Rosiers-sur-Loire;87487876;49350;0.0;76365;76365;73278;73278;66880;66880
Les Sables Blancs;87476267;56340;0.0;1184;1184;928;928;617;617
L'Estaque;87751602;13016;0.0;162288;162288;134120;134120;114582;114582
Lezennes;87287102;59260;0.0;1186;1186;1855;1855;644;644
Lingolsheim;87214502;67380;0.0;82272;82272;75809;75809;70732;70732
Loison-sous-Lens;87345231;62218;0.0;9593;9593;9749;9749;9319;9319
Luchon;87611236;31110;0.0;53172;53172;60864;60864;42692;42692
Lumes;87172189;8440;0.0;20382;20382;22799;22799;20714;20714
Lusignan;87485540;86600;0.0;60306;60306;53287;53287;54052;54052
Lutterbach;87182667;68460;0.0;73987;73987;71747;71747;57921;57921
Marbache;87141796;54820;0.0;29652;29652;26885;26885;24767;24767
Marignier;87746347;74970;0.1999999999999999;199388;249235;177316;221645;164852;206066
Mériel;87276675;95630;0.0;455903;455903;413212;413212;401661;401661
Moirans;87747329;38430;0.1999999999999999;868026;1085033;795250;994063;797125;996406
Montastruc-la-Conseillère;87615369;31380;0.2;189628;237035;208074;260093;184245;230306
Montélimar;87764001;26200;0.2;1053025;1316282;963113;1203891;898692;1123365
Montgeroult - Courcelles;87381160;95650;0.0;26209;26209;23765;23765;24391;24391
Montry - Condé;87116400;77450;0.0;72934;72934;66131;66131;42061;42061
Moyeuvre-Grande;87191718;57250;0.0;55038;55038;53260;53260;43655;43655
Musée d'Orsay;87547307;75007;0.0;4594047;4594047;4165915;4165915;3914727;3914727
Mussidan;87595298;24400;0.2;207820;259775;192487;240609;175616;219521
Nemours - Saint-Pierre;87684126;77140;0.0;1525880;1525880;1383554;1383554;1245506;1245506
Pargny-sur-Saulx;87174334;51340;0.0;0;0;0;0;0;0
Pierrefitte - Stains T11;87697326;93380;0.0;4310074;4310074;0;0;0;0
Pontcharra - Saint-Forgeux;87721464;69490;0.0;20393;20393;20326;20326;20373;20373
Pontgibaud;87641316;63230;0.0;0;0;0;0;1;1
Portets;87582718;33640;0.0;151952;151952;137512;137512;123754;123754
Rai - Aube;87444620;61270;0.0;0;0;4;4;9;9
Remise à Jorelle;87988709;93140;0.0;731895;731895;663691;663691;623710;623710
Rosa Parks;87654798;75019;0.0;14064366;14064366;12754682;12754682;11987483;11987483
Rothau;87214726;67570;0.1999999999999999;164034;205043;162798;203497;158758;198447
Ruelle-sur-Touvre;87583203;16600;0.0;0;0;0;0;2;2
Saint-Aignan - Noyers;87574897;41110;0.0;95106;95106;88819;88819;85328;85328
Saint-Amand-Montrond - Orval;87576322;18200;0.0;70067;70067;67241;67241;59281;59281
Saint-Aubin-sur-Scie;87415125;76550;0.0;12164;12164;15119;15119;12469;12469
Saint-Denis-lès-Martel;87594572;46600;0.0;25700;25700;24266;24266;21617;21617
Saint-Georges-de-Reneins;87721340;69830;0.02999999999999998;80440;82928;77859;80267;74388;76688
Saint-Jodard;87726851;42590;0.0;16466;16466;11942;11942;11242;11242
Saint-Jory;87611657;31790;0.2;253694;317117;274003;342504;241185;301482
Saint-Julien-du-Sault;87683227;89330;0.0;39500;39500;38671;38671;36797;36797
Saint-Leu-d'Esserent;87276402;60340;0.0;128020;128020;123708;123708;138908;138908
Saint-Mammès;87682294;77670;0.0;408291;408291;370207;370207;303399;303399
Saint-Mariens - Saint-Yzan;87491209;33620;0.1999999999999999;244855;306068;230206;287758;197906;247382
Saint-Martory;87611103;31360;0.0;11163;11163;9948;9948;8440;8440
Saint-Médard-sur-Ille;87478024;35250;0.0;59018;59018;52387;52387;47117;47117
Saint-Saturnin-lès-Avignon;87765438;84450;0.0;34087;34087;30231;30231;28764;28764
Saint-Vincent le Château;87734715;43800;0.0;14337;14337;15229;15229;14358;14358
Salbris;87543165;41300;0.2;302844;378555;286327;357909;289499;361874
Sallaumines;87345215;62430;0.0;18391;18391;15135;15135;13013;13013
Sarreinsming;87193631;57115;0.0;378;378;20;20;23;23
Sarre-Union;87215459;67260;0.2;151824;189780;152350;190438;154277;192846
Saverdun;87611368;9700;0.2;170362;212953;193894;242367;154600;193250
Seclin;87286518;59113;0.2;392035;490044;363457;454322;317594;396992
Selles-Saint-Denis;87576140;41300;0.0;24824;24824;29700;29700;27642;27642
Sierck-les-Bains;87191635;57480;0.0;2314;2314;4202;4202;4111;4111
Thann Saint-Jacques;87182881;68800;0.2;240303;300378;216223;270279;165101;206377
Thenon;87595579;24210;0.0;24849;24849;22300;22300;20318;20318
Théoule-sur-Mer;87757583;6590;0.0;32131;32131;25443;25443;19850;19850
Thouaré-sur-Loire;87481143;44470;0.0;61351;61351;59014;59014;46006;46006
Torfou-Sèvremoine;87486894;49660;0.0;59782;59782;56730;56730;43234;43234
Toulon Sainte-Musse;87742262;83100;0.0;195074;195074;116047;116047;1330;1330
Vallon-en-Sully;87641357;3190;0.0;18949;18949;22087;22087;26733;26733
Varangéville - Saint-Nicolas;87141101;54110;0.2;396621;495776;395548;494435;348189;435236
Villepreux - Les Clayes;87393413;78340;0.0;2052959;2052959;1861655;1861655;1665949;1665949
Villers-Bretonneux;87313437;80380;0.2;260957;326197;240122;300152;194818;243523
Vinay;87761726;38470;0.2;206591;258239;182708;228385;179020;223775
Virieu-le-Grand - Belley;87741504;1510;0.0;80316;80316;68564;68564;59947;59947
Viroflay Rive Droite;87382887;78220;0.0;2672068;2672068;2422700;2422700;2426142;2426142
Voellerdingen;87215640;67430;0.0;0;0;0;0;0;0
Vraincourt - Viéville;87143024;52310;0.0;1636;1636;1503;1503;1332;1332
Wacquemoulin;87316208;60420;0.0;2429;2429;1863;1863;1482;1482
Woippy;87192088;57140;0.0;188929;188929;181738;181738;154292;154292
Zetting;87193649;57115;0.0;361;361;12695;12695;11963;11963
Zillisheim;87182196;68720;0.0;41379;41379;35233;35233;24942;24942
Aigrefeuille le Thou;87485193;17290;0.0;90376;90376;61127;61127;51200;51200
Alleyras;87731885;43580;0.0;1933;1933;2059;2059;1931;1931
Ambronay - Priay;87743146;1500;0.0;8293;8293;8222;8222;8271;8271
Autun;87694570;71400;0.0;47675;47675;49667;49667;66454;66454
Auxonne;87713347;21130;0.2;414535;518169;375248;469060;362209;452762
Bauvin - Provin;87345280;59221;0.0;130202;130202;125309;125309;109399;109399
Belfort;87184002;90000;0.2;1552041;1940051;1294166;1617707;1245496;1556870
Bellac;87592485;87300;0.0;42248;42248;35242;35242;33299;33299
Blesme - Haussignémont;87174326;51340;0.0;0;0;27;27;63;63
Bois-Colombes;87381079;92270;0.0;5680808;5680808;5150893;5150893;5302890;5302890
Boucau;87673095;64340;0.0;23189;23189;14525;14525;10269;10269
Brest;87474007;29211;0.2;2777923;3472404;2572723;3215904;2370384;2962980
Cambrai;87345520;59400;0.2;720845;901056;704456;880570;666320;832900
Champagne-sur-Seine;87682450;77430;0.0;577690;577690;523805;523805;428217;428217
Champagney;87185348;70290;0.0;68063;68063;57942;57942;69916;69916
Champbenoist - Poigny;87115873;77160;0.0;227895;227895;206637;206637;182176;182176
Champs - Saint-Bris;87683615;89290;0.0;2749;2749;2485;2485;2551;2551
Chantenay;87481051;44000;0.0;55107;55107;54655;54655;48932;48932
Chaponost;87722710;69630;0.0;92700;92700;91018;91018;99688;99688
Charleville-Mézières;87172007;8000;0.2517006802721089;1500456;2005155;1471075;1965892;1252226;1673429
Chézy-sur-Marne;87116574;2570;0.0;164523;164523;148629;148629;113397;113397
Chouzy-sur-Cisse;87574301;41150;0.0;988;988;1010;1010;738;738
Clichy - Levallois;87381129;92110;0.0;11597203;11597203;10515535;10515535;11232100;11232100
Conflans-Sainte-Honorine;87381897;78700;0.0;4582103;4582103;4154142;4154142;4070670;4070670
Crécy-la-Chapelle;87116772;77580;0.0;242076;242076;219495;219495;157761;157761
Dannes - Camiers;87317081;62187;0.0;13227;13227;7815;7815;11836;11836
Éguzon-Chantôme;87597153;36270;0.0;12240;12240;12866;12866;10316;10316
Émerainville - Pontault-Combault;87116046;77340;0.0;4664593;4664593;4230223;4230223;3975775;3975775
Épinay - Villetaneuse;87271122;93800;0.0;17439318;17439318;15812883;15812883;15327902;15327902
Étang-sur-Arroux;87694141;71190;0.0;85075;85075;61700;61700;105170;105170
Évry-Courcouronnes;87681387;91000;0.0;12893424;12893424;9895865;9895865;9299239;9299239
Folligny;87447649;50320;0.0;7886;7886;9017;9017;6633;6633
Fresnoy-le-Grand;87296293;2230;0.0;34241;34241;31356;31356;26363;26363
Fretin;87286641;59273;0.0;75826;75826;73016;73016;66985;66985
Gallieni Cancéropôle;87497461;31000;0.0;50012;50012;64835;64835;53873;53873
Graffenstaden;87212241;67400;0.0;50646;50646;44905;44905;26235;26235
Grenoble;87747006;38000;0.3056551178831672;8776384;12639805;8121338;11696404;7993812;11512740
Gunsbach - Griesbach;87182386;68140;0.0;31742;31742;29458;29458;20096;20096
Harfleur;87413302;76700;0.0;6094;6094;4890;4890;3806;3806
Hargicourt - Pierrepont;87313338;80500;0.0;25352;25352;22416;22416;18689;18689
Haute Picardie TGV;87313882;80200;0.1999999999999999;375792;469740;337464;421830;320142;400178
Igney - Avricourt;87215103;54450;0.0;25861;25861;26601;26601;18434;18434
Illfurth;87182204;68720;0.0;70611;70611;74110;74110;68267;68267
Jassonneix;87594085;19250;0.0;2357;2357;1826;1826;1389;1389
Jaux;87272013;60880;0.0;16681;16681;12901;12901;11822;11822
Joncherey;87700153;90100;0.0;11241;11241;7101;7101;7473;7473
Kalhausen;87193664;57412;0.0;15857;15857;14170;14170;14724;14724
Kerhostin;87476432;56170;0.0;4616;4616;3660;3660;2919;2919
La Barre Ormesson;87271171;95170;0.0;3252736;3252736;2949331;2949331;2886266;2886266
La Basse Indre - Saint-Herblain;87481069;44610;0.0;36061;36061;34686;34686;36375;36375
La Couronne Carro;87753541;13500;0.0;54394;54394;44544;44544;42629;42629
La Fresnais;87478081;35111;0.0;23632;23632;21884;21884;18801;18801
La Grand-Combe;87775254;30110;0.0;43055;43055;36406;36406;28946;28946
La Haie-Fouassière;87481416;44690;0.0;172435;172435;167174;167174;139927;139927
La Levade;87775247;30110;0.0;1514;1514;937;937;710;710
La Souterraine;87592378;23300;0.1999999999999999;229748;287185;203529;254411;172888;216110
La Villette Saint-Prest;87394171;28300;0.0;109176;109176;100086;100086;91140;91140
Le Breuil-sur-Couze;87734228;63340;0.0;45730;45730;44561;44561;41661;41661
Le Chambon-Feugerolles;87726711;42500;0.0;38271;38271;30550;30550;30742;30742
Le Coteau;87726828;42120;0.0;116162;116162;100209;100209;95659;95659
Les Ormes;87575118;86220;0.0;6819;6819;5622;5622;5174;5174
Logelbach;87182345;68124;0.0;39721;39721;37333;37333;34475;34475
Longages - Noé;87611053;31410;0.0;132711;132711;150525;150525;126046;126046
Longpré-les-Corps-Saints;87313122;80510;0.2;172036;215045;164696;205870;135919;169899
Louvroil;87295535;59720;0.0;4012;4012;3612;3612;2460;2460
Ludon-Médoc;87581181;33290;0.0;78376;78376;72288;72288;60311;60311
Machecoul;87481366;44270;0.0;116298;116298;111610;111610;96863;96863
Mandelieu-la-Napoule;87757591;6210;0.0;155658;155658;151857;151857;131714;131714
Marle sur Serre;87296095;2250;0.0;65128;65128;71908;71908;66223;66223
Massiac - Blesle;87734871;15500;0.0;24031;24031;26604;26604;35514;35514
Maurs;87645168;15400;0.0;11553;11553;11078;11078;10054;10054
Mehun-sur-Yèvre;87576116;18500;0.0;105160;105160;92551;92551;82908;82908
Meudon Val Fleury;87393082;92190;0.0;2803049;2803049;2542156;2542156;2389874;2389874
Meymac;87594275;19250;0.0;38110;38110;30977;30977;26518;26518
Miniac-Morvan;87478131;35540;0.0;1676;1676;1338;1338;1106;1106
Modane;87742007;73500;0.1560402684563759;122917;145643;206237;244368;216671;256731
Monistrol-d'Allier;87734335;43580;0.0;1970;1970;2612;2612;2661;2661
Montaigut-le-Blanc;87597674;23320;0.0;2243;2243;1747;1747;1053;1053
Montargis;87684001;45200;0.2;1948917;2436146;1798582;2248228;1531226;1914033
Morbier;87715433;39400;0.0;8339;8339;8419;8419;9491;9491
Morgny-la-Pommeraye;87411439;76750;0.0;31209;31209;32487;32487;28457;28457
Morhange;87192286;57340;0.0;128991;128991;122693;122693;106556;106556
Naucelle;87615732;12800;0.0;62819;62819;69229;69229;38965;38965
Négrondes;87595132;24460;0.0;11378;11378;9037;9037;7557;7557
Nice Pont Michel;87590299;6088;0.0;29841;29841;32261;32261;33234;33234
Nouvion-sur-Meuse;87172213;8160;0.0;96652;96652;86678;86678;73643;73643
Nuits-Saint-Georges;87713529;21700;0.1999999999999999;303532;379415;275660;344575;272147;340183
Origny-en-Thiérache;87296145;2550;0.0;5443;5443;6501;6501;7732;7732
Pagny-sur-Moselle;87192468;54530;0.06000000000000004;403789;429562;404152;429949;356716;379485
Pau;87672006;64000;0.2;1482868;1853586;1275571;1594464;1234139;1542674
Penne-d'Agenais;87586438;47140;0.0;17126;17126;14799;14799;15396;15396
Pérols-sur-Vézère;87592170;19170;0.0;538;538;466;466;598;598
Poix-de-Picardie;87313395;80290;0.0;166971;166971;154026;154026;128654;128654
Pontoise;87276139;95300;0.0;8480463;8480463;7693222;7693222;7676107;7676107
Pouru-Saint-Rémy;87172338;8140;0.0;900;900;712;712;715;715
Rambouillet;87393314;78120;0.0;5579876;5579876;5059405;5059405;3874743;3874743
Ranchot;87718338;39700;0.0;51011;51011;45792;45792;53452;53452
Ranguin;87757732;6150;0.0;100108;100108;92454;92454;81312;81312
Rémelfing;87193623;57200;0.0;225;225;2847;2847;3219;3219
Revin;87172080;8500;0.2;241975;302469;236154;295193;199519;249398
Saincaize-Meauce;87696260;58470;0.0;4175;4175;982;982;2865;2865
Saint-Amarin;87182600;68550;0.0;71351;71351;72439;72439;56906;56906
Saint-Dié-des-Vosges;87144014;88100;0.1399999999999999;539785;627657;514458;598207;471486;548240
Sainte-Marguerite;87287193;59660;0.0;3;3;12;12;4;4
Saint-Erme-Outre-et-Ramecourt;87171751;2820;0.0;100594;100594;92904;92904;77921;77921
Saint-Étienne Châteaucreux;87726000;42000;0.1999999999999999;4203481;5254351;3966356;4957945;3685091;4606364
Saint-Germain-au-Mont-d'Or;87721282;69650;0.0;556567;556567;503397;503397;461731;461731
Saint-Julien-en-Genevois;87745430;74160;0.2;270947;338684;238398;297998;219126;273908
Saint-Sulpice-Laurière;87592345;87370;0.0;49484;49484;43524;43524;38867;38867
Saujon;87491811;17600;0.0;72426;72426;60164;60164;58017;58017
Savonnières;87571844;37510;0.0;2080;2080;2333;2333;2399;2399
Schopperten;87215483;67260;0.0;14231;14231;14668;14668;19397;19397
Soultz-sous-Forêts;87213421;67250;0.1999999999999999;230673;288341;218085;272606;217646;272058
Sous le Bois;87295543;59600;0.0;23;23;8;8;8;8
Thourotte;87276741;60150;0.0;59210;59210;55167;55167;47726;47726
Tincques;87342303;62127;0.0;26728;26728;20403;20403;7677;7677
Trentels Ladignac;87586446;47140;0.0;0;0;0;0;0;0
Varilhes;87611327;9120;0.0;59617;59617;57877;57877;54551;54551
Vauxaillon;87297283;2320;0.0;7163;7163;7639;7639;7747;7747
Vélines;87584177;24230;0.0;82430;82430;71042;71042;63568;63568
Vénissieux;87723320;69200;0.1999999999999999;222965;278706;191194;238993;173756;217195
Verneuil-sur-Avre;87393595;27130;0.3;184041;262916;188511;269302;162904;232720
Vias;87781260;34450;0.0;12518;12518;12257;12257;12291;12291
Vignols - Saint-Solve;87594655;19130;0.0;1;1;0;0;111;111
Villars-les-Dombes;87723759;1330;0.1999999999999999;492195;615244;470245;587807;454412;568015
Villefranche - Vernet-les-Bains;87784686;66820;0.2;253097;316371;295520;369400;266812;333516
Villiers - Neauphle - Pontchartrain;87393884;78640;0.0;765804;765804;695997;695997;754106;754106
Vireux-Molhain;87172114;8320;0.0;91235;91235;91208;91208;64839;64839
Viviez - Decazeville;87613661;12110;0.0;19323;19323;22468;22468;17339;17339
Zornhoff Monswiller;87212217;67700;0.0;0;0;0;0;0;0
Acheux - Franleu;87316745;80560;0.0;0;0;0;0;2;2
Andelot-en-Montagne;87715102;39320;0.0;36040;36040;31549;31549;25960;25960
Angoulins sur Mer;87485102;17690;0.0;20052;20052;16334;16334;14777;14777
Arbanats;87582726;33640;0.0;46870;46870;47658;47658;51865;51865
Artix;87672212;64170;0.0;106432;106432;82495;82495;65223;65223
Aubiet;87611764;32270;0.0;11965;11965;14078;14078;12763;12763
Auray;87476200;56400;0.1999999999999999;1317309;1646637;1258333;1572916;1110096;1387621
Bailleul-Sir-Berthoult;87342592;62580;0.0;582;582;566;566;647;647
Barr;87214247;67140;0.1999999999999999;370408;463011;361280;451600;341948;427435
Bartenheim;87182113;68870;0.0;136895;136895;129259;129259;116030;116030
Baziège;87611723;31450;0.0;103277;103277;104508;104508;94556;94556
Bazoches;87171348;2220;0.0;2716;2716;2959;2959;2725;2725
Beauvoisin;87775809;30640;0.0;54368;54368;19600;19600;15736;15736
Bellenaves;87641068;3330;0.0;9674;9674;10212;10212;8124;8124
Bena Fanes;87784892;66760;0.0;116;116;65;65;86;86
Blanzy;87694612;71450;0.0;14625;14625;10820;10820;21359;21359
Blois - Chambord;87574004;41000;0.1999999999999999;1996524;2495655;1927554;2409443;1749067;2186334
Bogny-sur-Meuse;87172049;8120;0.0;82139;82139;86934;86934;79860;79860
Breteil;87471102;35160;0.0;114549;114549;104172;104172;85747;85747
Brunoy;87682120;91800;0.0;4831405;4831405;4519023;4519023;4246577;4246577
Cernay (Val-d'Oise);87276063;95120;0.0;3088419;3088419;2800451;2800451;2643784;2643784
Chabris;87576223;36210;0.0;32073;32073;26213;26213;30059;30059
Chambly;87276725;60230;0.2;778703;973379;738540;923176;681255;851569
Chambourg-sur-Indre;87571463;37310;0.0;3926;3926;3374;3374;2486;2486
Chasse-sur-Rhône;87722561;38670;0.0400000000000001;276928;288467;241445;251505;237250;247136
Château-Gaillard;87543066;28210;0.0;6308;6308;5363;5363;7509;7509
Allée de la Tour Rendez-Vous;87113878;93320;0.0;1006727;1006727;912913;912913;857918;857918
Coarraze - Nay;87672139;64800;0.0;95852;95852;75278;75278;59827;59827
Conches-en-Ouche;87387159;27190;0.0;57779;57779;58545;58545;47956;47956
Avesnes-sur-Helpe;87295733;59440;0.2;161629;202037;146849;183562;142784;178481
Deluz;87718429;25960;0.0;4461;4461;2726;2726;2682;2682
Dercy - Froidmont;87297143;2270;0.0;7775;7775;8927;8927;8642;8642
Ebblinghem;87281469;59173;0.0;12334;12334;14778;14778;13896;13896
Batz-sur-Mer;87481770;44740;0.0;34742;34742;32028;32028;26382;26382
Exideuil;87592881;16150;0.0;0;0;0;0;0;0
Bédarieux;87781609;34600;0.0;42068;42068;44798;44798;35301;35301
Fourmies;87295048;59610;0.1999999999999999;174812;218515;177248;221560;169985;212482
Beillant;87491076;17800;0.0;913;913;347;347;112;112
Harfleur Halte;87413708;76700;0.0;2962;2962;5262;5262;4022;4022
Belleville;87486142;85170;0.0;142286;142286;134484;134484;113138;113138
Bernay;87444299;27300;0.11;655294;736286;616334;692510;544544;611847
Héricourt;87184507;70400;0.2;190325;237907;173873;217341;183846;229808
Biarritz;87673400;64200;0.2;895222;1119028;829355;1036694;731466;914333
Igny;87393561;91430;0.0;440344;440344;399376;399376;375513;375513
Bourg-Madame;87784876;66760;0.0;4312;4312;5312;5312;5356;5356
La Garenne-Colombes;87386003;92250;0.0;4965571;4965571;4502515;4502515;4891934;4891934
Langeac;87734319;43300;0.0;37452;37452;36297;36297;26287;26287
Brioude;87734269;43100;0.0;118457;118457;109121;109121;110941;110941
Le Perray-en-Yvelines;87393298;78610;0.0;796649;796649;722412;722412;591206;591206
Caulnes;87473066;22350;0.0;90645;90645;84923;84923;73308;73308
Le Teil;87764472;7400;0.0;4561;4561;680;680;7355;7355
Chinon;87571687;37500;0.2;201445;251806;164710;205888;174059;217574
Les Essarts-le-Roi;87393280;78690;0.0;896755;896755;812866;812866;652253;652253
Dompierre Sept Fons;87696427;3290;0.0;19081;19081;20117;20117;19909;19909
Les Praz de Chamonix;87746826;74400;0.0;9739;9739;6690;6690;7797;7797
Évry Val de Seine;87681361;91000;0.0;877639;877639;803532;803532;755215;755215
Lille Flandres;87286005;59000;0.21;25331979;32065796;24118203;30529371;21992946;27839172
Foix;87611616;9000;0.1999999999999999;313936;392420;318840;398550;283007;353759
