Nom de la gare;Code UIC;Code postal;% Non Voyageurs;Total Voyageurs 2024;Total Voyageurs + Non voyageurs 2024;Total Voyageurs 2023;Total Voyageurs + Non voyageurs 2023;Total Voyageurs 2022;Total Voyageurs + Non voyageurs 2022
Juvisy-sur-Orge;87545244;91260;0.0;41881077;41881077;35396457;35396457;33271111;33271111
Kerhuon;87474213;29480;0.0;60172;60172;49527;49527;39605;39605
Keskastel;87215491;67260;0.0;54120;54120;50298;50298;52193;52193
La Chapelle-sur-Loire;87571802;37140;0.0;3371;3371;3121;3121;4016;4016
La Douzillère;87009696;37300;0.0;9979;9979;6573;6573;9903;9903
La Ferté-Bernard;87396325;72400;0.2;297050;371313;276215;345269;270677;338346
La Grave d'Ambarès;87491274;33440;0.0;25137;25137;30196;30196;29282;29282
La Méaugon;87473124;22440;0.0;476;476;15;15;86;86
La Norville - Saint-Germain-lès-Arpajon;87545459;91290;0.0;604879;604879;548509;548509;515437;515437
La Rivière de Mansac;87594416;19520;0.0;20688;20688;13144;13144;4610;4610
La Roche-Maurice;87474262;29800;0.0;23711;23711;19088;19088;18632;18632
La-Voulte-sur-Rhône;87761544;7800;0.0;909;909;1021;1021;1406;1406
Le Cendre - Orcet;87734160;63670;0.2;183417;229272;165289;206612;147109;183887
Le Haut Banc;87316687;62250;0.0;2990;2990;1658;1658;1359;1359
Le Mée-sur-Seine;87682179;77350;0.0;2628948;2628948;2097046;2097046;1970800;1970800
Le Stade;87381095;92700;0.0;3216734;3216734;2916687;2916687;2801735;2801735
Les Bossons;87746768;74400;0.0;7780;7780;6418;6418;5988;5988
Les Flachères;87721704;69260;0.0;1857;1857;762;762;969;969
Les Moussoux;87746818;74400;0.0;4178;4178;2487;2487;2054;2054
Les Mureaux;87386680;78130;0.0;5383889;5383889;4883031;4883031;4588884;4588884
L'Hermitage - Mordelles;87471060;35590;0.0;66738;66738;60286;60286;55145;55145
Limoux Flassian;87598755;11300;0.0;5869;5869;9719;9719;8990;8990
Lorient Bretagne Sud;87476002;56100;0.29;2066021;2909889;1910564;2690935;1766624;2488202
